"Id","Category","SubCategory","Title","Severity","Status","Scope","AffectedCount","Description","Recommendation","Timestamp"
"AD-KERB-ROAST","Security","Kerberos","Kerberoastable Accounts","High","Fail","contoso.com","5","Enabled user accounts with a Service Principal Name (SPN) can have a Kerberos service ticket requested and cracked offline (Kerberoasting).","Use Group Managed Service Accounts (gMSA) or enforce AES-only, long/random passwords for service accounts.","7/21/2026 4:33:10 PM"
"AD-KERB-ROAST-RC4","Security","Kerberos","Kerberoastable Accounts Permitting RC4","Critical","Fail","contoso.com","3","Kerberoastable accounts still permitting RC4-HMAC encryption are dramatically faster to crack offline than AES-only accounts.","Set msDS-SupportedEncryptionTypes to AES-only (24) on all service accounts.","7/21/2026 4:33:10 PM"
"AD-KERB-ASREP","Security","Kerberos","AS-REP Roastable Accounts","High","Fail","contoso.com","2","Accounts with Kerberos pre-authentication disabled allow an AS-REP message to be requested and cracked offline.","Enable Kerberos pre-authentication on all accounts unless a specific, documented exception applies.","7/21/2026 4:33:10 PM"
"AD-KERB-UNCONSTRAINED","Security","Kerberos","Unconstrained Kerberos Delegation","Critical","Fail","contoso.com","2","Accounts/computers trusted for unconstrained delegation can cache and replay the Kerberos TGT of any user that authenticates to them.","Migrate to constrained delegation or Resource-Based Constrained Delegation (RBCD); remove unconstrained delegation unless strictly required.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-KRBTGT-AGE","Security","Identity","KRBTGT Password Age","Critical","Fail","contoso.com","1","The krbtgt account signs and encrypts all Kerberos tickets in the domain and should be rotated regularly.","Reset the krbtgt password (twice, several hours apart, following the documented procedure) at least every 180 days.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-ADMINSDHOLDER","Security","Identity","AdminSDHolder Orphaned Accounts","Medium","Fail","contoso.com","2","Accounts with adminCount=1 that are no longer members of a protected group keep an inherited restrictive ACL and are easy to overlook during access reviews.","Review and, where appropriate, reset adminCount and restore ACL inheritance on these accounts.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-PROTECTEDUSERS","Security","Identity","Protected Users Group Adoption","Low","Warning","contoso.com","0","The built-in Protected Users group provides additional Kerberos-based protections for Tier 0 administrative accounts.","Evaluate adding Tier 0 administrative accounts to the Protected Users group where operationally feasible.","7/21/2026 4:33:10 PM"
"AD-KERB-ROAST","Security","Kerberos","Kerberoastable Accounts","Pass","Pass","child.contoso.com","0","Enabled user accounts with a Service Principal Name (SPN) can have a Kerberos service ticket requested and cracked offline (Kerberoasting).","Use Group Managed Service Accounts (gMSA) or enforce AES-only, long/random passwords for service accounts.","7/21/2026 4:33:10 PM"
"AD-KERB-ROAST-RC4","Security","Kerberos","Kerberoastable Accounts Permitting RC4","Pass","Pass","child.contoso.com","0","Kerberoastable accounts still permitting RC4-HMAC encryption are dramatically faster to crack offline than AES-only accounts.","Set msDS-SupportedEncryptionTypes to AES-only (24) on all service accounts.","7/21/2026 4:33:10 PM"
"AD-KERB-ASREP","Security","Kerberos","AS-REP Roastable Accounts","Pass","Pass","child.contoso.com","0","Accounts with Kerberos pre-authentication disabled allow an AS-REP message to be requested and cracked offline.","Enable Kerberos pre-authentication on all accounts unless a specific, documented exception applies.","7/21/2026 4:33:10 PM"
"AD-KERB-UNCONSTRAINED","Security","Kerberos","Unconstrained Kerberos Delegation","Pass","Pass","child.contoso.com","0","Accounts/computers trusted for unconstrained delegation can cache and replay the Kerberos TGT of any user that authenticates to them.","Migrate to constrained delegation or Resource-Based Constrained Delegation (RBCD); remove unconstrained delegation unless strictly required.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-KRBTGT-AGE","Security","Identity","KRBTGT Password Age","Pass","Pass","child.contoso.com","1","The krbtgt account signs and encrypts all Kerberos tickets in the domain and should be rotated regularly.","Reset the krbtgt password (twice, several hours apart, following the documented procedure) at least every 180 days.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-ADMINSDHOLDER","Security","Identity","AdminSDHolder Orphaned Accounts","Pass","Pass","child.contoso.com","0","Accounts with adminCount=1 that are no longer members of a protected group keep an inherited restrictive ACL and are easy to overlook during access reviews.","Review and, where appropriate, reset adminCount and restore ACL inheritance on these accounts.","7/21/2026 4:33:10 PM"
"AD-IDENTITY-PROTECTEDUSERS","Security","Identity","Protected Users Group Adoption","Pass","Pass","child.contoso.com","3","The built-in Protected Users group provides additional Kerberos-based protections for Tier 0 administrative accounts.","Evaluate adding Tier 0 administrative accounts to the Protected Users group where operationally feasible.","7/21/2026 4:33:10 PM"
"AD-SEC-LDAPSIGN","Security","LDAP","LDAP Server Signing","Pass","Pass","DC01.contoso.com","1","LDAPServerIntegrity controls whether the LDAP server requires signing of incoming LDAP binds.","Set LDAPServerIntegrity to 2 (Required) on all Domain Controllers.","7/21/2026 4:33:10 PM"
"AD-SEC-LDAPCHANBIND","Security","LDAP","LDAP Channel Binding","Pass","Pass","DC01.contoso.com","1","LdapEnforceChannelBinding controls whether LDAP binds over SSL/TLS require a channel binding token, protecting against LDAP relay attacks.","Set LdapEnforceChannelBinding to 2 (Always) on all Domain Controllers.","7/21/2026 4:33:10 PM"
"AD-SEC-LDAPSIGN","Security","LDAP","LDAP Server Signing","Medium","Fail","DC02.contoso.com","1","LDAPServerIntegrity controls whether the LDAP server requires signing of incoming LDAP binds.","Set LDAPServerIntegrity to 2 (Required) on all Domain Controllers.","7/21/2026 4:33:10 PM"
